ID,Doza_snaga,Doza_jedinica_mjere
415337,0.2,mg
415338,0.4,mg
415445,10,mg
415447,15,mg
415449,20,mg
415451,25,mg
415454,30,mg
415821,150,mg
415825,420,mg
416115,3.6,mg
416116,3.6,mg
416117,3.6,mg
416120,5,mg
416121,5,mg
416122,5,mg
416202,10,mg
416204,20,mg
416205,20,mg
416250,2.5,mg
416324,40,mg
416326,80,mg
416349,400,mg
416366,4,mg
416367,8,mg
416417,500,mg
416424,30,mg
416499,500,mg
416501,500,mg
416521,100,mg
416523,100,mg
416525,100,mg
416526,100,mg
416529,400,mg
416531,400,mg
416554,322,mcg
416607,6,mg
416610,30,mg
416636,0.25,mg
416642,0.5,mg
416649,1,mg
416666,2.5,mg
416668,2.5,mg
416669,2.5,mg
416670,2.5,mg
416671,5,mg
416673,5,mg
416674,5,mg
416675,5,mg
416676,10,mg
416678,10,mg
416679,10,mg
416680,10,mg
416836,35,mg
416837,35,mg
416839,35,mg
416842,300,mg
416844,300,mg
416845,600,mg
416847,600,mg
416994,5,mg
416995,10,mg
417007,24,mg
417008,24,mg
417026,70,mg
417169,1,Mi.j.
417231,40,mg
417232,40,mg
417236,80,mg
417237,80,mg
417334,0.75,mg
417339,1.5,mg
417352,550,mg
417353,550,mg
417395,250,mg
417396,250,mg
417402,250,mg
417403,250,mg
417417,2,g
417425,4,g
417498,375,mg
417525,0.25,mg
417529,0.5,mg
417532,1,mg
417575,100,mg
417711,60,mg
417712,60,mg
417730,0.4,mg
417731,0.4,mg
417732,0.4,mg
417733,0.4,mg
417743,5,mg
417745,10,mg
417777,50,mg
417779,50,mg
417858,500,mg
417861,850,mg
417874,200,mg
417888,40,mg
417889,80,mg
417906,500,mg
417955,2.5,mg
417956,2.5,mg
417958,5,mg
417959,5,mg
418006,20,mg
418053,150,mg
418055,300,mg
418182,100,mg
418183,100,mg
418187,150,mg
418188,150,mg
418332,500,mg
418333,500,mg
418334,500,mg
418336,500,mg
418338,500,mg
418339,500,mg
418340,500,mg
418341,500,mg
418344,1000,mg
418345,1000,mg
418346,1000,mg
418348,1000,mg
418350,1000,mg
418351,1000,mg
418352,1000,mg
418353,1000,mg
418396,50,mg
418397,50,mg
418403,100,mg
418404,400,mg
418407,10,mg
418409,400,mg
418410,400,mg
418415,5,mg
418417,10,mg
418420,250,mg
418421,250,mg
418456,333,mg
418457,333,mg
418480,10,mg
418508,245,mg
418555,600,mg
418557,400,mg
418646,500,mg
418652,500,mg
418672,150,mg
418778,50,mg
418791,5,mg
418792,5,mg
418793,5,mg
418794,5,mg
418795,5,mg
418796,5,mg
418814,600,mg
418842,10,mg
418873,150,mg
418874,500,mg
418887,125,mg
418923,50,mg
418924,50,mg
418926,70,mg
418927,70,mg
418970,100,mg
418976,150,mg
419212,10,mg
419213,10,mg
419218,20,mg
419220,20,mg
419429,5,mg
419455,500,mg
419934,10,mg
419936,10,mg
419937,25,mg
419939,25,mg
420039,300,mg
420040,300,mg
420042,600,mg
420043,600,mg
420044,600,mg
420063,250,mg
420069,500,mg
420146,250,mg
420297,2.5,mg
420324,80,mg
420330,120,mg
420453,500,mg
420455,250,mg
420457,500,mg
420458,250,mg
420539,20,mg
420540,20,mg
421104,20,mg
421105,20,mg
421106,20,mg
421107,20,mg
421111,30,mg
421112,30,mg
421113,30,mg
421114,30,mg
421133,350,mg
421200,40,mg
421250,12.5,mg
421255,25,mg
421370,1,mg
421374,2,mg
421376,3,mg
421415,20,mg
421418,0.5,mg
421451,5,mg
421453,10,mg
421515,100,mg
421591,500,mg
